transcription,duration,up_votes,down_votes,age,gender,accent,transcription_original,transcription_clean,word_count,char_count,pitch_mean,energy_mean,zcr_mean,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13
Kosova başkentinswki yolcu sayısı arttı.,3.096,2,0,thirties,male_masculine,unknown,Kosova başkentinswki yolcu sayısı arttı.,kosova başkentinswki yolcu sayısı arttı,5,39,152.859202295212,0.08064617,0.14620906748670212,-252.68407,120.81773,-9.887951,50.441303,-18.196466,-0.72226924,-6.5096993,-0.18438116,-22.739252,-2.860129,-0.3152176,-1.9265398,-4.361292
Kamuoyu ikiye bölünmüş durumda.,2.196,2,0,unknown,unknown,unknown,Kamuoyu ikiye bölünmüş durumda.,kamuoyu ikiye bölünmüş durumda,4,30,258.1786090405576,0.10883223,0.13049686316287878,-231.34525,85.44774,-18.217342,49.86193,-30.077856,-21.215393,-34.838245,-17.658693,-19.494902,-9.437256,-13.009416,-11.52772,-3.3673134
"Maria içeri girmiş, tren sessiz sedasız hareket etmişti.",4.284,2,0,fifties,male_masculine,unknown,"Maria içeri girmiş, tren sessiz sedasız hareket etmişti.",maria içeri girmiş tren sessiz sedasız hareket etmişti,8,54,179.52822845081138,0.10655043,0.21352317116477273,-234.56944,59.656178,19.423723,46.45001,-7.6815104,-20.281755,-31.130186,-0.8433641,-31.653202,-4.353682,-26.915007,3.9498522,-13.259018
"O da doğruldu, ayaklarını aşağıya salladı ve sırtına ince bir hırka aldı.",5.292,2,0,fifties,male_masculine,unknown,"O da doğruldu, ayaklarını aşağıya salladı ve sırtına ince bir hırka aldı.",o da doğruldu ayaklarını aşağıya salladı ve sırtına ince bir hırka aldı,12,71,196.15723454652186,0.10747208,0.09756638228527607,-255.23186,109.87236,22.14741,26.285404,-22.201353,-15.07251,-20.965107,-12.910274,-35.64757,-4.3617587,-18.107933,-4.5798826,-12.176391
Yüzünün bütün iptidai ve vahşi ifadesine rağmen acınacak bir tarafı vardı.,5.58,2,0,fifties,male_masculine,unknown,Yüzünün bütün iptidai ve vahşi ifadesine rağmen acınacak bir tarafı vardı.,yüzünün bütün iptidai ve vahşi ifadesine rağmen acınacak bir tarafı vardı,11,73,199.0403041638027,0.12332564,0.1121315179869186,-225.02902,96.259445,19.508787,39.6535,-21.96377,-15.010131,-27.629227,-7.7931376,-36.2211,-4.8334694,-21.171486,-0.9818299,-12.5750065
Tekrar söze başladı.,1.476,2,0,fifties,male_masculine,unknown,Tekrar söze başladı.,tekrar söze başladı,3,19,190.77568477662518,0.138245,0.1467618075284091,-179.84991,93.052605,2.4818819,29.798079,-23.351265,-6.849889,-35.83795,-14.319375,-40.128307,-4.695654,-14.11445,2.8702707,-15.99918
Mihriye hanım hastane lafını duyunca büsbütün kendini bıraktı.,4.176,2,0,fifties,male_masculine,unknown,Mihriye hanım hastane lafını duyunca büsbütün kendini bıraktı.,mihriye hanım hastane lafını duyunca büsbütün kendini bıraktı,8,61,202.93407301051957,0.10233101,0.11037427325581395,-242.03198,102.01374,17.704952,39.12563,-21.234776,-18.510345,-24.172188,-12.275097,-28.877453,-7.746507,-24.344362,-2.4876034,-12.4496765
"Yüklü eşeklerle sık sık gelip giden köylülerden, değirmenin işlek olduğu anlaşılıyordu.",5.688,2,0,fifties,male_masculine,unknown,"Yüklü eşeklerle sık sık gelip giden köylülerden, değirmenin işlek olduğu anlaşılıyordu.",yüklü eşeklerle sık sık gelip giden köylülerden değirmenin işlek olduğu anlaşılıyordu,11,85,208.9464083733372,0.123773076,0.11287897283380682,-219.7278,89.64617,15.261932,46.08971,-18.178204,-17.5214,-29.304089,-8.642549,-34.106777,-10.567542,-26.02881,-5.455699,-12.284835
"Başım dönüyordu, buna rağmen dimdik ayakta duruyor ve gülüyordum.",4.392,2,0,fifties,male_masculine,unknown,"Başım dönüyordu, buna rağmen dimdik ayakta duruyor ve gülüyordum.",başım dönüyordu buna rağmen dimdik ayakta duruyor ve gülüyordum,9,63,187.17696211914622,0.11466932,0.06450376157407407,-254.83197,122.92294,5.2245407,33.586014,-14.138848,-16.167091,-20.440035,-12.12651,-35.25849,-12.737657,-18.239346,0.1915083,-10.851964
"Bana ver, hem ziyaret etmiş olurum dedim.",2.7,2,0,fifties,male_masculine,unknown,"Bana ver, hem ziyaret etmiş olurum dedim.",bana ver hem ziyaret etmiş olurum dedim,7,39,183.2056837146721,0.098986775,0.10795183879573171,-249.9421,99.993225,14.766522,36.445164,-10.577192,-17.919779,-26.506794,-4.290269,-35.188496,-2.1421876,-18.595734,-0.54079056,-11.946944
